feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32,feat33,feat34,feat35,feat36,feat37,feat38,feat39,feat40,feat41,feat42,feat43,feat44,feat45,feat46,feat47,feat48,feat49,feat50,feat51,feat52,feat53,feat54,feat55,feat56,feat57,feat58,feat59,feat60,feat61,feat62,feat63,feat64,feat65,feat66,feat67,feat68,feat69,feat70,feat71,feat72,feat73,feat74,feat75,feat76,feat77,feat78,feat79,feat80,feat81,feat82,feat83,feat84,feat85,feat86,feat87,feat88,feat89,cluster
0.702355,0.30673063,0.717776,0.27450714,0.31176478,0.26776174,0.73005784,0.28283697,0.66700006,0.6941539,0.31108308,0.3096456,0.24948204,0.2241306,0.6906708,0.70746547,0.6955771,0.7112737,0.26795152,0.29369918,0.2959622,0.41668123,0.7185682,0.41113174,0.6774815,0.5524083,0.69820076,0.28619614,0.42552093,0.6977076,0.25738767,0.2511103,0.31364578,0.36231494,0.27668574,0.67403287,0.73311055,0.7400193,0.65586084,0.23109514,0.66380024,0.61826587,0.7155149,0.27663743,0.31306908,0.31207797,0.63802844,0.35233092,0.7063938,0.30064797,0.3052411,0.65418565,0.74131924,0.6853825,0.36145082,0.3035631,0.2547837,0.6920973,0.3900693,0.67169327,0.7128973,0.55945027,0.27684516,0.38562626,0.72182524,0.4306824,0.7085368,0.2772474,0.32129884,0.6989346,0.68612415,0.713873,0.22663867,0.31876948,0.44298065,0.76948434,0.31359798,0.27656016,0.32278818,0.22357267,0.27198023,0.73108417,0.2669581,0.28690144,0.27567533,0.35815945,0.6341572,0.26501316,0.70339316,0.7172791,5
0.8291414,0.18090513,0.84748673,0.14315839,0.18700431,0.13551572,0.8625595,0.15237434,0.78741515,0.820695,0.18653148,0.18459533,0.1133101,0.08179465,0.81590676,0.8355261,0.8217481,0.83984536,0.13479726,0.16568421,0.16853571,0.3113,0.84873044,0.48611712,0.800193,0.47140938,0.8244423,0.15693012,0.3212281,0.82361096,0.12255737,0.114950076,0.18955523,0.24702443,0.14532796,0.79575783,0.8661651,0.8743063,0.77531964,0.09165234,0.78373754,0.73064715,0.845284,0.145731,0.188783,0.18814689,0.7528213,0.23489508,0.83471733,0.17410527,0.17975411,0.7727056,0.8759401,0.80931246,0.24529548,0.17715448,0.11987257,0.8175346,0.27953437,0.7929678,0.8424416,0.6605491,0.14558621,0.27478585,0.85258085,0.3273249,0.8366037,0.14668137,0.19884212,0.8254424,0.8104566,0.84328175,0.086280495,0.19525401,0.5230889,0.909291,0.18919064,0.14538646,0.19968037,0.08212586,0.1400345,0.863904,0.13348605,0.1573646,0.14432482,0.24224049,0.749112,0.1314778,0.8307667,0.8472512,9
0.8011997,0.20854434,0.81884205,0.17202878,0.21443485,0.16459161,0.83347505,0.18104056,0.76090443,0.79305875,0.21397361,0.21212056,0.14321734,0.11294502,0.7884203,0.80739856,0.7940295,0.81152916,0.1639877,0.19384012,0.19658372,0.3345221,0.82009494,0.46971673,0.77322984,0.4892623,0.79663545,0.18531995,0.3441165,0.79576623,0.15218125,0.14477459,0.21683808,0.27265057,0.17414258,0.7689601,0.8369332,0.84483814,0.7491515,0.122318216,0.7572849,0.70602006,0.8167124,0.174522,0.21615246,0.21555836,0.7273984,0.26069316,0.8065786,0.20201197,0.2074417,0.7467253,0.8463767,0.7820629,0.270674,0.20487872,0.1495644,0.79005593,0.30386785,0.7662567,0.81405866,0.63826936,0.17436622,0.29922593,0.82379496,0.34994265,0.80837446,0.17548817,0.22592835,0.7976289,0.78314257,0.81481564,0.11707923,0.22236982,0.50550544,0.87869555,0.2166149,0.1741933,0.22656378,0.113044456,0.16901639,0.8347781,0.1628571,0.1858407,0.17321214,0.2677238,0.7240133,0.16074072,0.8027838,0.81865346,8
0.84198964,0.16842501,0.8604931,0.12996644,0.1745654,0.12210473,0.8757137,0.13959458,0.79963183,0.83311194,0.17400648,0.1720981,0.09976808,0.068309575,0.82840294,0.8484541,0.8343073,0.8528122,0.12167677,0.15293443,0.1557547,0.30064592,0.86175275,0.49338228,0.8125074,0.46330848,0.83716613,0.14395186,0.31095204,0.83632743,0.10918328,0.10150586,0.17700918,0.23564291,0.1322692,0.8081082,0.87933266,0.88765067,0.78702307,0.077836834,0.7958355,0.74169326,0.85810995,0.13258637,0.17632751,0.17551184,0.76454455,0.22320352,0.8475008,0.1614845,0.16712752,0.78456163,0.88927096,0.8217996,0.23385955,0.16454169,0.10639466,0.8301836,0.2685761,0.8052593,0.8552746,0.6706592,0.13251811,0.26353106,0.8656238,0.31709176,0.8494766,0.13356693,0.18648417,0.8380919,0.8229655,0.85617936,0.072331764,0.18293986,0.53117365,0.92314106,0.17693333,0.13229829,0.18747056,0.068155274,0.1268247,0.87704325,0.12060289,0.14461906,0.1312881,0.23044968,0.7606819,0.118215054,0.8435685,0.8601854,10
0.7717342,0.23763387,0.7887019,0.20245066,0.24332577,0.19528756,0.80282,0.21114206,0.7329334,0.76394325,0.24287863,0.24109204,0.17472124,0.1455294,0.75947547,0.7777204,0.76485986,0.7816814,0.19470188,0.22348149,0.22612137,0.35901245,0.7899533,0.45245582,0.7448076,0.508057,0.7673473,0.21526185,0.36817378,0.76646817,0.18334414,0.17619196,0.24564274,0.29946148,0.20450872,0.74067754,0.80617523,0.8137928,0.721618,0.15456733,0.72945607,0.6801308,0.7866631,0.20486104,0.24500899,0.2444415,0.70059913,0.28784582,0.7769742,0.23138894,0.23659377,0.71930355,0.8152804,0.7533153,0.29745024,0.23409498,0.18083127,0.76103914,0.32946762,0.73806304,0.7841379,0.6148348,0.20469353,0.32501802,0.79349333,0.37380117,0.7786351,0.2058162,0.25445586,0.7683042,0.7543441,0.7848555,0.14951903,0.25092083,0.48691684,0.84644634,0.24542099,0.2045309,0.25493404,0.14568952,0.19955687,0.80408233,0.1936272,0.21578418,0.20359492,0.29468143,0.69741946,0.19154441,0.7732668,0.7885613,-1
0.68615663,0.32258517,0.7010451,0.29111576,0.32756287,0.28441316,0.7134182,0.29915512,0.6517479,0.67856485,0.32697093,0.32556573,0.266624,0.24159423,0.6750331,0.6911696,0.6796488,0.6949208,0.28456432,0.30984905,0.3120886,0.430171,0.7020694,0.4020355,0.66188824,0.56260353,0.68213344,0.30253887,0.43831435,0.68132716,0.27443495,0.268073,0.3294115,0.3773045,0.29327458,0.6584911,0.7165263,0.7232453,0.6408985,0.24852207,0.6484596,0.604598,0.6991104,0.29313222,0.32888955,0.3282533,0.6230526,0.3669427,0.69030017,0.3166923,0.32120746,0.63955986,0.7244027,0.6697228,0.37560302,0.31945607,0.2718004,0.676256,0.4040695,0.65622133,0.6966627,0.54676145,0.29328385,0.39986837,0.7052381,0.4432961,0.6922902,0.29386818,0.33723724,0.6829819,0.6702357,0.69748104,0.24422023,0.33419222,0.43289137,0.7523237,0.3290233,0.29303247,0.33789796,0.24129343,0.2886062,0.7144261,0.2834041,0.3031745,0.292147,0.37294364,0.6200305,0.28168246,0.68727887,0.7009091,5
0.66625935,0.34182504,0.68107414,0.31156492,0.34670886,0.30531135,0.6931081,0.31887445,0.63272184,0.65933996,0.34634066,0.3448258,0.28753105,0.26225594,0.6556055,0.6712364,0.6602689,0.6748296,0.3048035,0.3295629,0.33185083,0.4466125,0.68196994,0.39068022,0.642902,0.57520765,0.66247475,0.3226003,0.45440882,0.661816,0.29497966,0.28882548,0.34883803,0.39476898,0.3133333,0.6393898,0.6960764,0.7025499,0.6229293,0.26998526,0.62974477,0.58728933,0.6793265,0.31354353,0.3480913,0.34767374,0.6049645,0.3851512,0.67055994,0.3362357,0.34080824,0.62102395,0.70383704,0.65032685,0.39343822,0.33892342,0.29269975,0.6567383,0.420982,0.6371954,0.67689973,0.53098166,0.3135088,0.4172683,0.68510014,0.4593418,0.67231494,0.31422082,0.35617158,0.6633633,0.65102416,0.67758465,0.2658165,0.3533507,0.42032874,0.7306737,0.34825158,0.31331554,0.35696667,0.26272285,0.30903322,0.69417185,0.30347574,0.32284495,0.31237698,0.39113453,0.60197127,0.3021764,0.667484,0.680858,-1
0.92209727,0.088001385,0.94028413,0.050223045,0.094066724,0.042557344,0.95542455,0.059611645,0.8804524,0.91368747,0.09359455,0.09167738,0.020473965,0.05193442,0.9088714,0.9285719,0.91466725,0.9327755,0.041945286,0.07282555,0.07561241,0.21818464,0.94163066,0.5793734,0.8932347,0.37819615,0.91739833,0.06396529,0.22820166,0.9164843,0.029722065,0.022106528,0.09652454,0.15428595,0.052408844,0.88879675,0.95896316,0.96715885,0.86826706,0.0,0.8767432,0.8236497,0.93806034,0.05282259,0.09587397,0.09519301,0.84584427,0.14189914,0.927711,0.08127792,0.08687541,0.86572623,0.96876657,0.90231407,0.15228334,0.08415055,0.027072087,0.9106498,0.18657133,0.8860326,0.9353732,0.7536159,0.052653536,0.18172471,0.9454058,0.23421292,0.9294718,0.0538674,0.10597439,0.9183208,0.90351963,0.9361468,0.0,0.10227683,0.6164032,1.0,0.096450135,0.05247681,0.10662824,0.011344105,0.04709784,0.9567642,0.040935613,0.06458707,0.0515202,0.1491056,0.8422957,0.0385553,0.9237522,0.9400851,-1
0.6320121,0.375787,0.6460445,0.3470006,0.38041598,0.3410229,0.65732944,0.35406715,0.6002242,0.625221,0.3799687,0.37858564,0.3242966,0.30063796,0.6218273,0.636653,0.6262132,0.64010847,0.3407371,0.3641234,0.36628285,0.4750824,0.64682615,0.3704674,0.6097838,0.5970856,0.6283654,0.35750186,0.4825177,0.6278022,0.3314005,0.32558417,0.38232803,0.42590833,0.3488097,0.6065011,0.6601712,0.66631126,0.5906883,0.3076215,0.59737295,0.5569814,0.64428973,0.34888425,0.38168064,0.38118333,0.57392764,0.41685194,0.6359394,0.3704107,0.3746872,0.5890358,0.66749454,0.6168827,0.4247691,0.37304485,0.3291217,0.6228813,0.4508239,0.6044293,0.6419264,0.5036939,0.3489213,0.44721818,0.64979947,0.487217,0.63772446,0.34946764,0.38929507,0.6292147,0.6174465,0.6426464,0.30369484,0.38666153,0.39870173,0.6929956,0.3817911,0.34871796,0.39012796,0.300928,0.3446635,0.6583202,0.33944893,0.3578054,0.34781626,0.42248333,0.5709218,0.33821866,0.63309497,0.6457716,4
0.8353488,0.17479993,0.8538137,0.1367552,0.18092966,0.1290276,0.86898947,0.14608394,0.79331374,0.82681453,0.18045835,0.17851746,0.106698826,0.075035304,0.8220065,0.8417879,0.827882,0.84612256,0.12834932,0.15946329,0.16231894,0.306146,0.85507274,0.4897123,0.8061758,0.46747112,0.8306105,0.15062122,0.31616235,0.8297598,0.11601265,0.108343005,0.18349467,0.24147648,0.13894704,0.8017235,0.87261343,0.8808295,0.7810845,0.084887415,0.7895965,0.73610204,0.8515671,0.1393448,0.18272951,0.18207714,0.7584542,0.2291844,0.84095925,0.16796288,0.17363146,0.7784965,0.8824706,0.8153671,0.23965144,0.17100653,0.11330363,0.82367384,0.27416965,0.79890513,0.8487319,0.6654842,0.13920459,0.2693588,0.85893255,0.3222953,0.8428486,0.14031686,0.19286734,0.831603,0.8165158,0.8495683,0.07946243,0.18924369,0.52700996,0.91608304,0.18318649,0.13900526,0.19369821,0.07529944,0.1336084,0.8703433,0.12709484,0.15110837,0.13795288,0.23655726,0.75475156,0.12497899,0.8369835,0.8535636,-1
