feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32,feat33,feat34,feat35,feat36,feat37,feat38,feat39,feat40,feat41,feat42,feat43,feat44,feat45,feat46,feat47,feat48,feat49,feat50,feat51,feat52,feat53,feat54,feat55,feat56,feat57,feat58,feat59,feat60,feat61,feat62,feat63,feat64,feat65,feat66,feat67,feat68,feat69,feat70,feat71,feat72,feat73,feat74,feat75,feat76,feat77,feat78,feat79,feat80,feat81,feat82,feat83,feat84,feat85,feat86,feat87,feat88,feat89,feat90,feat91,feat92,feat93,feat94,feat95,feat96,feat97,feat98,feat99,cluster
0.87935776,0.7880258,0.14681096,0.12443608,0.8359164,0.120737,0.8246733,0.17846337,0.28806096,0.79306734,0.34778813,0.8298008,0.76481414,0.12066353,0.29039872,0.77420235,0.7842112,0.30095097,0.2094652,0.12334867,0.12064747,0.818436,0.75861984,0.24800861,0.25994736,0.87934047,0.8511626,0.19849591,0.20848732,0.7697809,0.20412707,0.2172682,0.7845832,0.8792964,0.2711567,0.83752877,0.18549526,0.82747275,0.17289877,0.25432304,0.8793402,0.21150309,0.6669911,0.26930514,0.8587571,0.7268442,0.2860667,0.12065709,0.7464448,0.87377584,0.18226986,0.8793475,0.1810619,0.80716527,0.24052277,0.7829243,0.32569838,0.78586566,0.8793176,0.7360039,0.8032741,0.79709285,0.78428626,0.19255364,0.24430126,0.789906,0.2116599,0.27542582,0.87532467,0.8334544,0.87235,0.78855306,0.24917513,0.23561195,0.28011492,0.24384746,0.30564052,0.24857955,0.67260873,0.8793541,0.19685477,0.1992471,0.24493858,0.8762986,0.26697963,0.12242983,0.13197176,0.8750025,0.7846764,0.85256445,0.18170783,0.22534141,0.86035705,0.2134093,0.75981724,0.8793385,0.87931734,0.7135898,0.12337608,0.7682587,4
0.9906163,0.8878082,0.038750798,0.013592858,0.94173205,0.00931415,0.9291641,0.074427135,0.19785044,0.89341706,0.26524013,0.9347558,0.86162853,0.009357989,0.20050615,0.87216175,0.88347507,0.21245037,0.109280065,0.012385726,0.009359159,0.92202467,0.85475606,0.15276295,0.1661575,0.99064463,0.95894414,0.09704208,0.10834693,0.8671961,0.103379324,0.11816999,0.88389343,0.99070233,0.178854,0.9436269,0.0824123,0.9322059,0.0681152,0.15990168,0.9906379,0.111710474,0.75132805,0.17670657,0.9675245,0.8188934,0.1956816,0.009330764,0.8409131,0.9843982,0.07867633,0.9906178,0.07744348,0.9093568,0.14431807,0.8820405,0.24034502,0.885428,0.99070305,0.829067,0.9049585,0.89796233,0.88355345,0.09034423,0.14863248,0.889872,0.11185861,0.18364573,0.9861344,0.9389742,0.98278296,0.8883239,0.15408382,0.13877526,0.18888575,0.14814687,0.21786787,0.15344647,0.75779575,0.9906217,0.095099546,0.09790069,0.14937826,0.98723,0.17424236,0.011285946,0.022103846,0.98580796,0.88401866,0.96049076,0.07807717,0.1272043,0.9692889,0.11382612,0.85598004,0.9906442,0.9906873,0.8039115,0.012436785,0.8654805,8
0.8501305,0.7617869,0.175277,0.1535739,0.80809635,0.14993453,0.7972504,0.2058656,0.3118749,0.7666738,0.36941195,0.80211484,0.7393746,0.14988731,0.31397235,0.7484038,0.75803834,0.3241381,0.2358161,0.1525386,0.14989632,0.79116535,0.7333001,0.2731387,0.2845856,0.85014504,0.8227805,0.22518018,0.23486951,0.744155,0.23068172,0.2433875,0.7584601,0.850113,0.29545015,0.8096101,0.2126094,0.7999353,0.20043571,0.2792111,0.85016245,0.23772943,0.64477503,0.29359144,0.8301787,0.7026339,0.30988538,0.14993347,0.7216005,0.8447424,0.20947497,0.8501816,0.20835343,0.78029895,0.2657717,0.75694966,0.3480579,0.75969535,0.8501318,0.71139103,0.7764867,0.7704624,0.7581045,0.21947068,0.26947203,0.76361424,0.23786125,0.29958844,0.84620845,0.80565006,0.84321856,0.7622671,0.27415544,0.2610513,0.3040244,0.26905394,0.32881728,0.2736706,0.6502778,0.8501294,0.22357073,0.2259527,0.27015582,0.84718645,0.29142547,0.15161045,0.16086262,0.8459201,0.7585146,0.8240961,0.20903909,0.25121754,0.8316874,0.23960978,0.7343872,0.8501382,0.85009474,0.6897329,0.15254241,0.7426124,4
0.94970036,0.93402636,0.014799565,0.0073944423,0.97162455,0.0152771175,0.96281767,0.039658822,0.12574019,0.93797475,0.17270815,0.96680856,0.9157901,0.03357002,0.12758976,0.9231453,0.9310056,0.13588962,0.06400253,0.009614758,0.015435949,0.95788527,0.9109427,0.09429731,0.10363515,0.98034006,0.9836155,0.055416152,0.06327035,0.9196692,0.059831165,0.07014065,0.9313158,0.96491367,0.11246658,0.97291636,0.045183197,0.9650102,0.035278007,0.09926255,0.9556532,0.06563211,0.8389029,0.11101147,0.9895886,0.8859641,0.12417574,0.024121448,0.90133476,0.9963307,0.042628825,0.9772179,0.04171829,0.94905764,0.08839882,0.93001574,0.1553147,0.93232274,0.9732512,0.8931149,0.945966,0.94112265,0.9310545,0.050735608,0.091389045,0.9354863,0.065735675,0.11582189,0.9931143,0.9696958,0.99938077,0.9344221,0.095201716,0.084537014,0.119484834,0.091027126,0.1395949,0.09475063,0.84336364,0.9825429,0.05409257,0.0560039,0.091892704,0.9910802,0.10920938,0.011612445,0.003132984,0.99375844,0.9313824,0.9847063,0.0422021,0.076478556,0.99083865,0.06711812,0.911841,0.9752908,0.9799903,0.87552685,0.009591989,0.91847175,1
0.6582771,0.5898111,0.36155784,0.34455055,0.62567294,0.3419367,0.617235,0.38510573,0.46722817,0.5936465,0.5117283,0.6211532,0.57253045,0.34172866,0.46889102,0.5794808,0.58687836,0.4766387,0.40834188,0.3437967,0.3417,0.61251223,0.56777835,0.4372345,0.44600728,0.6582916,0.6370408,0.4000135,0.4075902,0.5762576,0.40437582,0.41417187,0.5872755,0.658216,0.45447627,0.6268415,0.39031106,0.6193949,0.38096863,0.44200218,0.65836066,0.40977946,0.49929184,0.45314795,0.64279306,0.5440589,0.46560234,0.34179676,0.5587485,0.65405595,0.38793272,0.6583797,0.38706177,0.6041738,0.43148887,0.58602625,0.49514413,0.5881836,0.658187,0.55067104,0.6012014,0.5965016,0.5870043,0.3956915,0.43447185,0.59121966,0.40986642,0.4576763,0.65524465,0.6237268,0.65290487,0.59028155,0.43799877,0.42792463,0.46112603,0.4339903,0.48029545,0.43766543,0.50349164,0.65831256,0.39885122,0.40071893,0.43494743,0.65602905,0.4513408,0.3430745,0.3501808,0.65498245,0.5872581,0.6380365,0.38758868,0.4202751,0.64396775,0.41126204,0.5685934,0.65828806,0.6582517,0.53401023,0.34375322,0.57503986,3
0.64888346,0.58147484,0.3702861,0.35387796,0.6168945,0.3513856,0.6085458,0.39375377,0.47460803,0.5852136,0.5186286,0.61231685,0.56434524,0.35115454,0.47635812,0.57123905,0.57867813,0.48412845,0.41659415,0.3530394,0.35104477,0.6039781,0.5597716,0.44504768,0.45382556,0.6489116,0.6281463,0.40846846,0.41587448,0.56805164,0.4127218,0.4224131,0.5789497,0.6487795,0.46212688,0.6180502,0.39895993,0.6106047,0.38963133,0.44968277,0.6489321,0.41812122,0.49220207,0.4607644,0.6337043,0.5364293,0.47314048,0.35106236,0.5508777,0.6448182,0.3965911,0.648898,0.39566666,0.595582,0.43954468,0.57770926,0.50245357,0.5799587,0.64886045,0.5430358,0.5928874,0.5881774,0.5788662,0.40416664,0.44231474,0.5829035,0.41822708,0.46533382,0.64594036,0.6150497,0.6437767,0.5819019,0.4459973,0.43594313,0.4688005,0.44195205,0.48765054,0.44553667,0.49623805,0.6489203,0.40730172,0.40909818,0.4429347,0.64666086,0.45906293,0.35237613,0.3594311,0.64572287,0.5790451,0.6291332,0.39610046,0.4283421,0.63491523,0.4195354,0.5607124,0.64889276,0.64888346,0.5265442,0.3531075,0.5669249,3
0.91026103,0.81572676,0.11678724,0.09367776,0.86530447,0.08983003,0.8536714,0.14959028,0.26303187,0.82093984,0.32486355,0.85894597,0.7916874,0.08976805,0.2654433,0.8014086,0.8117815,0.2763887,0.1816731,0.09253625,0.08975386,0.8472197,0.7852802,0.22157378,0.23394592,0.9102418,0.8810853,0.17033266,0.18065995,0.7968243,0.17614633,0.18975633,0.812154,0.910201,0.24553746,0.86697114,0.15687065,0.85655546,0.1438169,0.22809477,0.91023254,0.1837881,0.6904281,0.24359488,0.888938,0.7523939,0.2609836,0.08974958,0.7726797,0.90449333,0.15352803,0.9102355,0.15227304,0.83553684,0.21383354,0.8104552,0.30201855,0.8134914,0.91023463,0.76189494,0.8315194,0.8251182,0.8118562,0.16416343,0.2177137,0.81767845,0.18395382,0.24996409,0.9060825,0.86276317,0.9030105,0.8162535,0.22278807,0.20872808,0.25481558,0.2172766,0.28123572,0.22216126,0.6962429,0.9102499,0.16861953,0.17109287,0.2183987,0.9070847,0.24122104,0.09159046,0.10148418,0.9057571,0.8122677,0.8825369,0.15293835,0.19810662,0.89059913,0.18575777,0.7865291,0.9102384,0.9102173,0.7386722,0.09257613,0.7952528,5
0.9374756,0.94033974,0.013385117,0.009789346,0.9743403,0.0202263,0.9663832,0.035862334,0.113699675,0.9439102,0.15618339,0.96998453,0.9238472,0.042311966,0.11537091,0.9304999,0.9376086,0.12288353,0.057874933,0.012727149,0.020406872,0.96191573,0.9194676,0.08527121,0.09370588,0.97448695,0.9851839,0.050109632,0.05721605,0.9273574,0.054105707,0.06342624,0.93788624,0.955854,0.10170267,0.97550935,0.040859655,0.9683576,0.031900376,0.08976191,0.9446704,0.0593509,0.85431784,0.10038487,0.9905854,0.89688784,0.11229517,0.030900225,0.9107771,0.99513656,0.03854911,0.9707122,0.037726775,0.9539339,0.07993944,0.9367131,0.14045516,0.93880063,0.9659267,0.90334225,0.9511391,0.9467568,0.93765235,0.045881137,0.08264293,0.9416578,0.059443332,0.10473469,0.990883,0.97259545,0.999181,0.9406961,0.08608829,0.07644525,0.10804697,0.08232092,0.12623686,0.085679874,0.8583501,0.97715217,0.04891537,0.05064462,0.08309884,0.9881933,0.09876181,0.015371636,0.0028388798,0.9917329,0.93794924,0.9861686,0.03816375,0.06915879,0.991715,0.06069296,0.920279,0.9683898,0.974067,0.88743764,0.01269763,0.92627424,1
0.91223174,0.8174929,0.11490069,0.09169857,0.8671761,0.08786279,0.8555181,0.14774454,0.26143992,0.8227202,0.32339355,0.86082083,0.7934103,0.087786056,0.26386002,0.80314785,0.8135272,0.27480707,0.17990004,0.09057229,0.08776901,0.84904176,0.7869896,0.21989152,0.23226672,0.9122237,0.8829937,0.16852862,0.17889109,0.7985651,0.17436449,0.18799758,0.81391543,0.91218084,0.24389713,0.86884683,0.15503977,0.85841715,0.14196645,0.2264373,0.9122226,0.1820173,0.69192016,0.24196741,0.8908701,0.7540288,0.25937954,0.08777656,0.7743545,0.90645105,0.15168926,0.91222626,0.1504421,0.8373524,0.21212237,0.81220615,0.30049157,0.8152551,0.91220266,0.7635169,0.83331454,0.82689583,0.81361073,0.16235779,0.21603557,0.8194444,0.18217663,0.24833459,0.9080516,0.8646209,0.9049634,0.81803113,0.221096,0.20702295,0.25319323,0.21557584,0.2796805,0.22048351,0.69775844,0.9122318,0.16681418,0.16930795,0.21671474,0.9090665,0.23957613,0.08961056,0.09952089,0.9077189,0.8140206,0.8844396,0.15110286,0.19637546,0.8925298,0.18399832,0.7882251,0.9122204,0.9122009,0.7402687,0.09059882,0.79697967,5
0.9110245,0.8164257,0.116034344,0.09286925,0.8660623,0.08909106,0.85440433,0.14884487,0.26238862,0.8216453,0.32424814,0.8597151,0.79236656,0.08898194,0.2648221,0.8020997,0.8124683,0.27574372,0.18094975,0.09175435,0.088939264,0.84794784,0.78596985,0.22088824,0.23323868,0.9110429,0.8818681,0.16959302,0.17994288,0.79753864,0.17542589,0.18904302,0.81285465,0.9109711,0.24486002,0.8677185,0.1561381,0.85730404,0.14307359,0.2274187,0.9110437,0.18307154,0.69100773,0.24294925,0.8897184,0.75306475,0.26034352,0.088953786,0.7733569,0.9052738,0.15278898,0.91103965,0.15153755,0.8362571,0.21313994,0.8111433,0.3014113,0.81421596,0.9110041,0.7625208,0.8322637,0.82582855,0.8125791,0.16344042,0.21704416,0.818384,0.18322429,0.24931107,0.9068704,0.86350936,0.90379524,0.8169752,0.222109,0.2080587,0.25416884,0.21658039,0.28061733,0.22149643,0.69683105,0.91104656,0.16788262,0.17038423,0.21775237,0.9078943,0.24055167,0.09077967,0.10067673,0.90653586,0.81296873,0.8832977,0.15218073,0.19741268,0.8913779,0.18505763,0.7872184,0.911035,0.9110153,0.7393176,0.09178095,0.79594773,5
