,Term
0,ACSL3
1,ADRB2
2,AJUBA
3,ALG13
4,APBB1
5,APOE
6,ARHGAP5
7,ARNT2
8,ASAP1
9,ASAP2
10,ATP2B1
11,ATP6V0C
12,BHLHE40
13,CACNG2
14,CADM1
15,CANX
16,CHSY3
17,CLDN1
18,CLOCK
19,CNR1
20,CNTNAP2
21,CRKL
22,CRTC2
23,DAB2IP
24,DCC
25,DDX5
26,DLG1
27,DLG2
28,DLGAP1
29,DMD
30,DNM2
31,DOCK4
32,ENPP2
33,EPHA6
34,EPHA7
35,EPN2
36,ERBB4
37,ERC1
38,ETV1
39,EXOC7
40,FOXG1
41,FOXP1
42,GABRA1
43,GABRB2
44,GABRG2
45,GAD1
46,GAD2
47,GIT1
48,GJA1
49,GNG3
50,GRIA1
51,GRIA2
52,GRIA3
53,GRIA4
54,GRID2
55,GRIK1
56,GRIK3
57,GRIK4
58,GRIK5
59,GRIN2A
60,GRIN2B
61,GRM8
62,HDAC7
63,HS6ST3
64,HTR2C
65,ID3
66,ID4
67,IQGAP2
68,IQSEC1
69,KCND2
70,KCNMA1
71,KCNN2
72,KCNQ3
73,KCNQ5
74,MAF
75,MEF2A
76,MEF2C
77,MEF2D
78,MMP16
79,MPP4
80,MSI2
81,MYL12B
82,NECTIN1
83,NECTIN3
84,NEFM
85,NEGR1
86,NLGN1
87,NLGN2
88,NLGN3
89,NME2
90,NPY4R
91,NR1D1
92,NRP1
93,NRXN1
94,NRXN2
95,NRXN3
96,NSF
97,NTN1
98,NTNG1
99,NUMBL
100,OGT
101,PAX5
102,PBX1
103,PCLO
104,PDE4D
105,PDGFRA
106,PEX5L
107,PLK2
108,PLTP
109,PPIA
110,PPP2R2B
111,PPP3CA
112,PPP3R1
113,PRICKLE1
114,PRKCA
115,PRKCG
116,PTPRB
117,PTPRM
118,PTPRZ1
119,PVR
120,RAB4A
121,RAB8B
122,ROBO1
123,ROBO2
124,RORB
125,RPIA
126,RPL13
127,RPL4
128,RPS26
129,RUNX1T1
130,RYR2
131,RYR3
132,SAT1
133,SEMA3A
134,SGCB
135,SGCD
136,SGCG
137,SHANK1
138,SLC17A6
139,SLC1A2
140,SLC4A4
141,SLC6A1
142,SLC8A1
143,SLC8A2
144,SLIT1
145,SNAP23
146,SNAP25
147,SOX2
148,SST
149,SV2C
150,SYT1
151,TCF3
152,TNR
153,TRIP6
154,UNC5A
155,UNC5C
156,UNC5D
157,VCAN
158,VEGFA
159,ZEB2
160,ZFPM2
161,ZNF558
