Gene 1,Gene 2,Weight,Network group,Network
MMP16,HS3ST4,0.017776828,Co-expression,Roth-Zlotnik-2006
BRINP3,MMP16,0.021716136,Co-expression,Roth-Zlotnik-2006
BRINP3,DPP10,0.012522305,Co-expression,Roth-Zlotnik-2006
TSHZ3,PRICKLE1,0.014300025,Co-expression,Roth-Zlotnik-2006
NLGN1,MMP16,0.017439859,Co-expression,Roth-Zlotnik-2006
ERC2,FAM19A1,0.008002438,Co-expression,Roth-Zlotnik-2006
ERC2,DPP10,0.005173388,Co-expression,Roth-Zlotnik-2006
ERC2,ELAVL4,0.008728174,Co-expression,Roth-Zlotnik-2006
ERC2,NRXN1,0.010422405,Co-expression,Roth-Zlotnik-2006
TCF4,NLGN1,0.011989383,Co-expression,Roth-Zlotnik-2006
PBX1,TSHZ3,0.009153939,Co-expression,Roth-Zlotnik-2006
CACNG2,CELF4,0.01165979,Co-expression,Roth-Zlotnik-2006
CACNG2,MMP16,0.009200051,Co-expression,Roth-Zlotnik-2006
CACNG2,NRXN1,0.011127047,Co-expression,Roth-Zlotnik-2006
NRXN2,CACNG2,0.004754051,Co-expression,Roth-Zlotnik-2006
KCND2,NRXN3,0.007745694,Co-expression,Roth-Zlotnik-2006
FNBP1L,TLE4,0.011017274,Co-expression,Wang-Maris-2006
NLGN1,ZEB2,0.015562961,Co-expression,Wang-Maris-2006
NLGN1,NRXN1,0.021063885,Co-expression,Wang-Maris-2006
GRIA1,NRXN1,0.015987033,Co-expression,Wang-Maris-2006
GRIA1,ERC2,0.010341431,Co-expression,Wang-Maris-2006
PBX1,FNBP1L,0.010245047,Co-expression,Wang-Maris-2006
NRXN2,APBB1,0.00779142,Co-expression,Wang-Maris-2006
FAM19A1,LRRTM3,0.030046007,Co-expression,Mallon-McKay-2013
ERC2,NRXN1,0.011627777,Co-expression,Mallon-McKay-2013
GRIA1,CELF4,0.02387623,Co-expression,Mallon-McKay-2013
SP7,GRIK3,0.019366436,Co-expression,Mallon-McKay-2013
SP7,HOXB1,0.015843,Co-expression,Mallon-McKay-2013
SYT13,NRXN1,0.009517834,Co-expression,Mallon-McKay-2013
NRXN3,ERC2,0.018293086,Co-expression,Mallon-McKay-2013
CHD7,ZNF608,0.013209047,Co-expression,Mallon-McKay-2013
NRXN2,NRXN1,0.007059619,Co-expression,Mallon-McKay-2013
NRXN2,NLGN1,0.010556645,Co-expression,Mallon-McKay-2013
PCDH9,DPP10,0.019589333,Co-expression,Noble-Diehl-2008
PCDH9,PRICKLE1,0.018116483,Co-expression,Noble-Diehl-2008
ZEB2,PRICKLE1,0.023995213,Co-expression,Noble-Diehl-2008
NRXN1,PCDH9,0.011130694,Co-expression,Rieger-Chu-2004
NLGN1,ELAVL4,0.019703137,Co-expression,Rieger-Chu-2004
ZNF609,TCF4,0.007855391,Co-expression,Rieger-Chu-2004
ZNF609,PBX1,0.010234447,Co-expression,Rieger-Chu-2004
NRXN3,APBB1,0.010062355,Co-expression,Rieger-Chu-2004
TANC2,ERC2,0.017183721,Co-expression,Rieger-Chu-2004
TANC2,GRIK5,0.019858453,Co-expression,Rieger-Chu-2004
GRIK3,BRINP3,0.016211398,Co-expression,Wu-Garvey-2007
ERC2,NLGN1,0.005043093,Co-expression,Wu-Garvey-2007
MYO16,HOXB1,0.008476294,Co-expression,Wu-Garvey-2007
NRXN2,NRXN3,0.017559506,Co-expression,Wu-Garvey-2007
ERC2,FAM19A1,0.007210154,Co-expression,Innocenti-Brown-2011
TCF4,TSHZ3,0.008423265,Co-expression,Innocenti-Brown-2011
PBX1,PRICKLE1,0.015399963,Co-expression,Innocenti-Brown-2011
CACNG2,BRINP3,0.010544391,Co-expression,Innocenti-Brown-2011
SP7,SGCZ,0.00452695,Co-expression,Innocenti-Brown-2011
SP7,TLE4,0.008787863,Co-expression,Innocenti-Brown-2011
SYT13,NLGN1,0.004038802,Co-expression,Innocenti-Brown-2011
ID3,TSHZ3,0.007596673,Co-expression,Innocenti-Brown-2011
TANC1,TSHZ3,0.005393241,Co-expression,Innocenti-Brown-2011
TANC1,AUTS2,0.015211172,Co-expression,Innocenti-Brown-2011
LYST,AUTS2,0.02117875,Co-expression,Innocenti-Brown-2011
