official gene symbol,scores
CST3,72.18264
TYROBP,67.42428
FTL,59.278885
AIF1,50.40825
LGALS1,50.171314
FTH1,48.86672
LST1,44.824615
CTSS,44.533596
FCER1G,44.321846
TYMP,43.399635
LYZ,42.794353
S100A6,41.1838
COTL1,40.900883
PSAP,40.83387
S100A11,39.53
S100A4,38.583836
OAZ1,36.90581
FCN1,34.265366
SAT1,34.129765
GABARAP,31.074377
CYBA,29.96352
S100A9,29.667084
NPC2,29.425379
HLA-DRA,27.718536
CFD,27.596897
ARPC3,26.91944
HLA-DRB1,26.010593
CD68,25.332575
SERPINA1,25.125452
ARPC1B,24.498045
IFITM3,24.049969
ACTB,23.395107
PYCARD,23.10837
NEAT1,22.856161
CD74,22.774517
AP1S2,22.413986
TKT,22.390602
ANXA2,22.25554
CFP,22.147762
SH3BGRL3,22.024492
S100A8,21.928812
SPI1,21.71416
LGALS2,21.605076
SRGN,21.581245
GSTP1,21.570974
GRN,21.314854
GPX1,21.044022
PRELID1,20.196972
LGALS3,20.192274
GAPDH,19.927208
RAC1,19.819195
S100A10,19.039295
HLA-DRB5,18.810574
HLA-DPA1,18.735317
IFI30,18.661657
TSPO,18.599756
C1orf162,18.076525
FCGRT,18.012522
TALDO1,18.007729
CEBPB,17.98041
MYL6,17.977524
CEBPD,17.8108
BRI3,17.776203
NCF2,17.763727
FKBP1A,17.434517
IFI6,17.168886
TMSB10,17.015133
TIMP1,16.705168
TPI1,16.583406
HLA-DPB1,16.168709
ALDOA,16.16016
YBX1,16.08982
CDA,16.006186
AP2S1,15.9684
VIM,15.634097
MS4A6A,15.212334
C10orf54,15.094933
ISG15,14.886064
SERF2,14.819118
RHOG,14.622876
CTSB,14.618344
NUP214,14.451933
TNFSF13B,14.423926
RGS2,14.186501
CD14,14.107176
FGR,14.064656
APOBEC3A,13.861334
LY6E,13.661169
TCEB2,13.506785
ATP6V0B,13.393306
ATP5G2,13.372151
BLVRA,13.367304
CLIC1,13.356665
HCK,13.284285
EIF4A1,13.269264
PFN1,13.258316
STXBP2,13.239208
RNF130,13.167222
BID,12.979789
ANXA5,12.936172
MT-CO1,12.907034
LAMTOR4,12.896016
PFDN5,12.871428
PGLS,12.804253
SERP1,12.780183
LILRA5,12.774572
SLC25A5,12.689216
CTSH,12.571624
ZFP36,12.561585
ARPC2,12.515592
PILRA,12.498212
MT-ND1,12.481743
SLC7A7,12.387492
BLVRB,12.339188
ATP6V1F,12.303141
FAM26F,12.247659
GLRX,12.207332
RP11-290F20.3,12.186832
TGFBI,12.096542
RHOA,12.084485
CPVL,12.005608
ASAH1,12.003994
MT2A,11.972878
IGSF6,11.81243
CSTB,11.74293
HLA-DMA,11.7145195
MNDA,11.71163
SLC25A6,11.671754
CARD16,11.658182
LINC00936,11.655437
STX11,11.649624
ARRB2,11.585818
H3F3A,11.494304
TMSB4X,11.443944
FGL2,11.426864
H2AFY,11.192581
EMP3,11.180083
KLF4,11.088562
AGTRAP,11.050956
GSTO1,11.024649
EIF4EBP1,11.004145
CFL1,10.940075
MS4A7,10.877607
VAMP8,10.813502
BRK1,10.750586
CNPY3,10.7368555
ITGB2,10.725029
CAPG,10.693117
LY86,10.655978
SERPINB1,10.646931
TBXAS1,10.569569
GPX4,10.569447
OAZ2,10.558147
C19orf38,10.534657
C20orf24,10.530054
CSF3R,10.485552
ALDH2,10.46401
SMCO4,10.407038
RNH1,10.394876
LILRB2,10.3024025
PLAUR,10.286903
CTSD,10.255445
ASGR1,10.228207
COX5B,10.121065
VASP,10.118613
PSMA7,10.11682
FPR1,10.0945835
HSBP1,10.066144
SCO2,10.002937
CTSZ,9.990691
WARS,9.965908
LGALS9,9.953224
RAB32,9.846095
LAMTOR1,9.836491
IFNGR2,9.81021
LRRC25,9.801688
CASP1,9.756967
APLP2,9.756699
NFKBIA,9.671117
VCAN,9.667836
AMICA1,9.665658
PSMB3,9.657877
SOD2,9.597427
NINJ1,9.568102
BST2,9.557223
SLC11A1,9.520462
MPEG1,9.404787
CD33,9.390008
CLEC7A,9.372609
MAFB,9.368603
TNFSF10,9.359054
CPPED1,9.292442
ODF3B,9.225857
SUPT4H1,9.216485
TMEM176B,9.188119
CD300E,9.159003
RNASET2,9.155991
ARL6IP4,9.140908
COX8A,9.134095
SNX3,9.105303
RHOB,9.07942
ATP5E,9.064913
EIF3K,9.063692
BLOC1S1,9.0414915
PLBD1,9.031402
NDUFA11,9.030509
CALM2,8.893601
MSRB1,8.888412
EFHD2,8.878603
SLC31A2,8.865095
NAAA,8.862418
GMFG,8.857805
COX6B1,8.812232
BST1,8.75219
DUSP1,8.722252
LSP1,8.714798
C5AR1,8.704194
HIGD2A,8.66669
HMOX1,8.631247
RGS19,8.622704
CD48,8.618531
FCGR2A,8.606786
WDR83OS,8.569644
OAS1,8.48636
GNB2,8.482305
PRAM1,8.435882
C20orf27,8.426171
CYBB,8.425364
ATP5D,8.417242
ATP6V0D1,8.363719
CD302,8.337105
ATG3,8.333215
FOSB,8.316972
VSTM1,8.314849
PGD,8.25307
NDUFA13,8.183195
HES4,8.18048
GCA,8.168762
CLTA,8.1038265
