feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32,feat33,feat34,feat35,feat36,feat37,feat38,feat39,feat40,feat41,feat42,feat43,feat44,feat45,feat46,feat47,feat48,feat49,feat50,feat51,feat52,feat53,feat54,feat55,feat56,feat57,feat58,feat59,feat60,feat61,feat62,feat63,feat64,feat65,feat66,feat67,feat68,feat69,feat70,feat71,feat72,feat73,feat74,feat75,feat76,feat77,feat78,feat79,feat80,feat81,feat82,feat83,feat84,feat85,feat86,feat87,feat88,feat89,feat90,feat91,feat92,feat93,feat94,feat95,feat96,feat97,feat98,feat99,cluster
0.0,0.0,0.0,0.0,0.0,0.29678583,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.74888885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.47738653,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.10847017,1.0,1.0000001,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.46617568,0.0,1.0,0.32112867,1.0,0.0,0.50109434,0.0,0.0,0.0,1.0,0.99999994,0.0,0.46883073,0.0,0.05720693,0.0,0.0,0.0,1.0,1.0,0.0,0.99999994,0.0,1.0000001,0.97225446,0.0,1.0,1.0,0.0,0.0,0.0,0.44842434,1.0,0.73952925,0.0,0.0,0.6707405,0.0,-1
0.8885137,0.9508183,0.06739473,0.90635383,0.9000821,0.05894971,0.08871044,0.9621637,0.9303353,0.8399305,0.03805375,0.05592233,0.825065,0.15417951,0.9237952,0.90547866,0.6429157,0.08731824,0.28169078,0.8697873,0.8416312,0.8877893,0.25823364,0.8758559,0.9620981,0.15372168,0.9078529,0.90491325,0.84292674,0.9184094,0.916405,0.5927636,0.95745003,0.9140264,0.05473515,0.065251015,0.6155389,0.9498923,0.08737101,0.113016054,0.9325898,0.95843637,0.13484597,0.08117561,0.8416491,0.116729215,0.05589497,0.87688607,0.16192865,0.021106036,0.1231831,0.11602727,0.9587641,0.8175412,0.038392156,0.8212284,0.3586605,0.9209958,0.0671536,0.07575523,0.855189,0.9486252,0.9448067,0.11827337,0.035812296,0.1353169,0.90133905,0.019682437,0.93259794,0.8486464,0.95636684,0.11669551,0.04085122,0.90093726,0.89708704,0.85015273,0.9098421,0.8896704,0.7777908,0.9116103,0.06982152,0.16015586,0.92474335,0.114569545,0.94016856,0.23384549,0.8998799,0.88455236,0.14819205,0.16861473,0.8292582,0.9262374,0.88700813,0.9627738,0.18045738,0.9898996,0.9534992,0.7930548,0.9234711,0.8426703,-1
0.60726905,0.6501044,0.046161994,0.6201024,0.6152625,0.13398302,0.37704474,0.65724593,0.63589096,0.5739475,0.3423471,0.35432103,0.564172,0.42174035,0.6318363,0.6187402,0.43936443,0.37674505,0.19283384,0.59429306,0.5754024,0.6068721,0.4928829,0.5987911,0.6570442,0.42173758,0.62062436,0.85613596,0.5762794,0.62748504,0.6260237,0.40521893,0.6544538,0.6244611,0.35389006,0.36081052,0.42084983,0.6504336,0.3767519,0.22818533,0.63763696,0.65570277,0.4082179,0.37233397,0.575239,0.39439613,0.35511532,0.5995238,0.42669696,0.048989303,0.40040478,0.39636964,0.65552604,0.55935544,0.34246364,0.5616213,0.5612774,0.6290875,0.36268574,0.3681332,0.5843284,0.7964187,0.6462846,0.39706415,0.12603903,0.40877837,0.6156522,0.17131032,0.6368599,0.5804166,0.6539477,0.3956691,0.34385282,0.61528933,0.76205593,0.5815264,0.64010656,0.60790193,0.5316231,0.62357694,0.36451393,0.4259683,0.63231426,0.39487764,0.64269084,0.47621322,0.92293626,0.6045079,0.41688752,0.43134874,0.56659317,0.6330805,0.6059712,0.80107373,0.43943256,0.9109459,0.6519774,0.54219645,0.8441995,0.57626957,-1
0.21935081,0.23410106,0.016955785,0.22423649,0.22196037,0.23788495,0.77509004,0.23796791,0.2296471,0.20748085,0.76305294,0.7664455,0.20377022,0.7907974,0.22853625,0.22329533,0.15723953,0.7753829,0.0698573,0.21370697,0.20708576,0.21935737,0.81704414,0.2167319,0.23668802,0.79205817,0.2243014,0.7887422,0.208404,0.22606051,0.22579187,0.14644313,0.23564929,0.22568,0.7671391,0.76956636,0.15245557,0.23589885,0.77529967,0.386962,0.23033583,0.23809117,0.78539073,0.7733222,0.20776421,0.77786785,0.7673326,0.21653014,0.7924365,0.087363385,0.7830693,0.7828213,0.2366947,0.20255804,0.76243836,0.20369804,0.840755,0.22677588,0.7703801,0.7715472,0.21108854,0.5864357,0.23444617,0.78109187,0.25035137,0.78604347,0.22171235,0.38179165,0.22975582,0.2094621,0.23625273,0.7805906,0.7626644,0.22157454,0.57524437,0.21066684,0.26802874,0.22013658,0.19230431,0.2255798,0.7704781,0.79273635,0.22821707,0.781813,0.23260933,0.81133723,0.9543095,0.21836627,0.7890347,0.79448503,0.20464373,0.2283876,0.21879947,0.5767807,0.79750055,0.8018323,0.23605615,0.19628042,0.7340629,0.20860016,-1
0.92105716,0.9853794,0.07001625,0.9397182,0.93281525,0.049940184,0.055640217,0.99704564,0.9640923,0.87047553,0.003105998,0.020873334,0.8556527,0.123852976,0.95787984,0.9384239,0.66614807,0.054882113,0.29226747,0.9011257,0.8721898,0.9199319,0.23120752,0.90798646,0.99677205,0.1232981,0.9411484,0.9113067,0.87383443,0.9518884,0.94963884,0.61432946,0.99208117,0.94707316,0.02032984,0.031174466,0.6380791,0.9859148,0.05461203,0.09929468,0.9667514,0.9941452,0.10291943,0.047960706,0.8724635,0.0819564,0.022326298,0.90913063,0.13070725,0.018046167,0.0911783,0.08435232,0.99397504,0.8479682,0.0031103939,0.8510562,0.33475265,0.9543079,0.03331312,0.0417593,0.88596565,0.9669661,0.97985053,0.08590442,0.025168214,0.10349019,0.93364525,0.0013525262,0.9659858,0.87968093,0.9916358,0.08380543,0.0053994656,0.9331165,0.91317993,0.8818955,0.9412715,0.9220936,0.8062951,0.945161,0.036186308,0.12920713,0.958651,0.08238278,0.97430336,0.20584922,0.8973345,0.9173209,0.11600329,0.13791373,0.85915864,0.96003234,0.919021,0.982742,0.15046562,0.9992614,0.9888506,0.8223085,0.9333158,0.87370193,7
0.878288,0.9396242,0.066768065,0.89610416,0.8895021,0.061393432,0.099481545,0.9507348,0.9193244,0.83004785,0.049414188,0.06631782,0.81591964,0.1645236,0.9134187,0.8948431,0.63519496,0.09880653,0.27871084,0.8592699,0.83167374,0.8772251,0.2668921,0.8658403,0.95044667,0.16401847,0.89745015,0.90380514,0.83326715,0.90767336,0.9055177,0.58580655,0.9460206,0.9030966,0.06583604,0.07615161,0.6084606,0.94018424,0.098528996,0.116853915,0.9218703,0.9480178,0.14454843,0.09217874,0.83194387,0.12449429,0.06774823,0.8669204,0.17105262,0.02225728,0.13336049,0.12690416,0.9478268,0.80862314,0.04939267,0.81155515,0.3656166,0.9099812,0.07822167,0.086241856,0.8448276,0.9437352,0.9343829,0.12834652,0.03891474,0.14509878,0.89025563,0.024534449,0.9211033,0.83884484,0.9455975,0.1263185,0.051561028,0.8897654,0.892581,0.84097433,0.90023434,0.87927115,0.7688617,0.9013002,0.080961876,0.16964784,0.9141387,0.12499805,0.92905414,0.2427307,0.90081185,0.87471306,0.15702306,0.17792447,0.8192643,0.9154494,0.8763415,0.95799273,0.18988669,0.98722,0.94294673,0.7841276,0.92116296,0.83315676,5
0.7598632,0.81292933,0.05780399,0.7754733,0.76960653,0.09304418,0.22082251,0.822508,0.79534394,0.7181037,0.17771848,0.19203565,0.7059447,0.27702802,0.79043263,0.77412724,0.5493663,0.22061864,0.2412479,0.7432481,0.71939707,0.7590419,0.36565453,0.7492271,0.82197547,0.27685195,0.77649885,0.883262,0.72101116,0.7851299,0.783229,0.5068832,0.8184751,0.7813533,0.1919269,0.20065051,0.52650815,0.8138431,0.22024092,0.16546515,0.79766273,0.82054883,0.2596562,0.21466342,0.71972275,0.24164706,0.19359758,0.7500831,0.28263637,0.03399642,0.25006214,0.24490297,0.8200593,0.6998572,0.17746449,0.7023409,0.4509166,0.7871795,0.20270452,0.20934448,0.7309406,0.8795693,0.8086951,0.2457478,0.076964505,0.26019377,0.76995724,0.088610455,0.79670835,0.72582567,0.81817603,0.24383447,0.17925666,0.76961213,0.83571327,0.72785264,0.786713,0.7607078,0.6652689,0.78000516,0.20501375,0.28162438,0.7909186,0.24301204,0.8037917,0.34489414,0.9104302,0.75666803,0.2704246,0.2885965,0.70880115,0.7919543,0.7581685,0.8897763,0.2989217,0.95399445,0.8159575,0.6784588,0.8877297,0.7210151,3
0.93177557,0.975915,0.16479649,0.9454056,0.94237673,0.14584233,0.047222767,0.98483187,0.9675933,0.8861921,0.0031319857,0.015893407,0.87283266,0.10870978,0.9551993,0.94742864,0.70205635,0.05426885,0.3650841,0.8909184,0.8877415,0.91327995,0.20544933,0.9199954,0.9866185,0.10819118,0.9498789,0.81908035,0.8644659,0.95523906,0.9523797,0.6553429,0.9787166,0.95246196,0.04797619,0.032844424,0.6767473,0.964684,0.055398196,0.18980883,0.9688179,0.9963647,0.08983806,0.045222513,0.8561919,0.13893679,0.01968817,0.8864982,0.14663516,0.11764343,0.08868506,0.08222379,0.9757134,0.83894324,0.022282094,0.8686798,0.29877555,0.96091413,0.032597814,0.0659978,0.88996804,0.87008,0.98362494,0.07451396,0.12342867,0.10629862,0.9330261,0.10147008,0.9610704,0.8944792,0.9885687,0.13650301,0.009942055,0.92921466,0.82161534,0.8097429,0.84812486,0.9159577,0.82835186,0.9494889,0.037624925,0.1135212,0.9575542,0.07131683,0.973212,0.18258905,0.8058385,0.90498334,0.17331518,0.17445502,0.8673719,0.9669034,0.927084,0.8843351,0.1326918,0.89839363,0.9884033,0.84277654,0.83916533,0.83687156,-1
0.7476838,0.799849,0.056858145,0.7628648,0.75723,0.09639162,0.23338673,0.8094378,0.7826068,0.70664644,0.19082189,0.2051457,0.69459087,0.28870207,0.77761596,0.76176095,0.5406333,0.23283604,0.23727185,0.73140967,0.70793104,0.74680865,0.37592387,0.73712,0.8090716,0.2883916,0.76401263,0.88084406,0.7093847,0.7726403,0.77084374,0.49872044,0.8052924,0.768842,0.2047979,0.21356529,0.5180102,0.8004134,0.2325953,0.17045107,0.78479284,0.80714715,0.27169588,0.22716217,0.70822793,0.2544511,0.2063579,0.7380047,0.29429388,0.035106294,0.26220647,0.25678408,0.8068582,0.6884114,0.19073816,0.6909659,0.4598956,0.7746533,0.21534625,0.2221084,0.7192277,0.872783,0.79551697,0.25786275,0.08085922,0.27219003,0.75784165,0.09542085,0.78413844,0.7140846,0.80498093,0.25616008,0.19258624,0.7574291,0.8295958,0.71596754,0.77491087,0.7485754,0.6545615,0.7672993,0.2176114,0.29312462,0.77818865,0.25512767,0.79095435,0.35538858,0.9114162,0.74461734,0.28237534,0.30016178,0.69745433,0.7792851,0.7460533,0.8822615,0.310353,0.95042086,0.8027745,0.66755944,0.8839642,0.7092932,3
0.6823025,0.7300457,0.051890172,0.6963723,0.691024,0.11386302,0.30037263,0.73840815,0.7142601,0.64476895,0.26143605,0.2745272,0.63390386,0.35090652,0.7097249,0.69514644,0.49346125,0.3000611,0.2166241,0.66756,0.64621294,0.6815317,0.43040735,0.6727133,0.738213,0.3505837,0.6972357,0.86939657,0.6473742,0.70511186,0.70336735,0.45509544,0.7349893,0.70147616,0.27425474,0.28217563,0.47277516,0.73076874,0.29982293,0.19723834,0.7162263,0.73662275,0.33528382,0.2948472,0.64629984,0.3193959,0.27588895,0.67353153,0.35586384,0.041562025,0.32660142,0.3218836,0.73644423,0.6283721,0.261412,0.63055086,0.5070508,0.7067835,0.2839421,0.290061,0.6562518,0.8373062,0.72602504,0.32279208,0.10187735,0.33580172,0.6914827,0.1305981,0.71539444,0.6518346,0.7346957,0.3210917,0.26299906,0.69108176,0.79819685,0.65343004,0.7121251,0.6830052,0.5972938,0.70036095,0.2861165,0.3549645,0.7102654,0.32027298,0.72176397,0.411649,0.9168036,0.67955774,0.34485692,0.36122924,0.63640565,0.7112137,0.6806828,0.8446346,0.37050402,0.93203187,0.73258203,0.60918784,0.8655146,0.64737916,2
