,Term
0,ACAP2
1,ACLY
2,ACSL3
3,ACVR2A
4,AHCY
5,AHCYL1
6,AHCYL2
7,AHR
8,AK5
9,ANK2
10,APOE
11,ARHGAP5
12,ATP2A2
13,ATP2B1
14,BAIAP2
15,BCL11B
16,BTG2
17,CACNA1A
18,CACNA1C
19,CACNA1D
20,CACNA2D2
21,CAMK1G
22,CAR4
23,CDK14
24,CDKN1C
25,CKB
26,CKM
27,CKMT1
28,CLU
29,CNOT7
30,CNOT8
31,CNTN2
32,CNTNAP2
33,DCC
34,DDX5
35,DGKH
36,DLG1
37,DMD
38,DNM3
39,DOCK4
40,DPP4
41,EFNB3
42,ENPP2
43,EPHA4
44,EPHA6
45,EPHA7
46,ERBB4
47,ERBIN
48,FTH1
49,FTL1
50,GABRA1
51,GABRA4
52,GAD1
53,GAD2
54,GALNTL6
55,GCG
56,GLRB
57,GNAO1
58,GRIA1
59,GRIA4
60,GRIK1
61,GRIK4
62,GRIN2A
63,GRM4
64,GRM8
65,HOXA9
66,HS6ST3
67,IAPP
68,IRF3
69,ISL1
70,ITPR3
71,KCNMA1
72,KCNQ5
73,MAF
74,MAML3
75,MEF2C
76,MMP16
77,MSI2
78,MYLK2
79,NECTIN3
80,NEFL
81,NEGR1
82,NLGN1
83,NR4A2
84,NRG1
85,NRG3
86,NRP1
87,NRXN1
88,NRXN2
89,NRXN3
90,NTNG1
91,PBX3
92,PDE4B
93,PEX5L
94,PLAA
95,PLK2
96,PRICKLE1
97,PRICKLE2
98,PRKCA
99,RB1
100,RELN
101,RELT
102,RFX6
103,RIMS1
104,RIMS2
105,ROBO1
106,ROBO2
107,RORA
108,RUNX1T1
109,RUNX2
110,RYR2
111,RYR3
112,SGCB
113,SGCD
114,SGCG
115,SLC1A2
116,SLC1A6
117,SLC38A2
118,SLC4A4
119,SLC6A1
120,SLC6A4
121,SLIT1
122,SNCA
123,SOX2
124,SST
125,SSTR2
126,SYT1
127,TIAM1
128,TUBB4A
129,UNC13C
130,VEGFA
131,ZEB2
132,ZFHX3
133,ZFPM2
