Gene 1,Gene 2,Weight,Network group,cluster
PDE4B,EFNB3,0.023963504,Co-expression,1,
TMEFF2,EFNB3,0.014093028,Co-expression,1,
GLRB,PTPRD,0.006898388,Co-expression,1,
GLRB,EFNB3,0.006846873,Co-expression,1,
GLRB,TMEFF2,0.004026713,Co-expression,1,
TUBB4A,PTPRD,0.008631142,Co-expression,1,
TUBB4A,EFNB3,0.008703599,Co-expression,1,
TUBB4A,TMEFF2,0.004692421,Co-expression,1,
TUBB4A,GLRB,0.002518288,Co-expression,1,
FKBP1B,PTPRD,0.021351637,Co-expression,1,
FKBP1B,TMEFF2,0.011273705,Co-expression,1,
FKBP1B,TUBB4A,0.006682164,Co-expression,1,
CLU,ENPP2,0.010693826,Co-expression,1,
AATK,PTPRD,0.008371436,Co-expression,1,
AATK,EFNB3,0.009066327,Co-expression,1,
AATK,PDE4B,0.006793389,Co-expression,1,
AATK,TMEFF2,0.004815707,Co-expression,1,
AATK,GLRB,0.00247955,Co-expression,1,
AATK,TUBB4A,0.003153251,Co-expression,1,
NEFL,PTPRD,0.011723422,Co-expression,1,
NEFL,EFNB3,0.011827228,Co-expression,1,
NEFL,TMEFF2,0.006331632,Co-expression,1,
NEFL,FTH1,0.008747826,Co-expression,1,
NEFL,GLRB,0.003413068,Co-expression,1,
NEFL,TUBB4A,0.004155232,Co-expression,1,
NEFL,AATK,0.004189706,Co-expression,1,
NACC2,FTH1,0.012318677,Co-expression,1,
NACC2,GLRB,0.003794609,Co-expression,1,
NACC2,TUBB4A,0.004877449,Co-expression,1,
NACC2,AATK,0.004955264,Co-expression,1,
NACC2,NEFL,0.006655426,Co-expression,1,
TMEFF2,PTPRD,0.02012817,Co-expression,1,
TUBB4A,EFNB3,0.008107868,Co-expression,1,
FKBP1B,FTH1,0.012940336,Co-expression,1,
TMEFF2,ENPP2,0.015295196,Co-expression,1,
NACC2,FKBP1B,0.016632818,Co-expression,1,
PTPRD,PCDH9,0.013394958,Co-expression,1,
GLRB,PCDH9,0.009638397,Co-expression,1,
GLRB,PTPRD,0.017598301,Co-expression,1,
TUBB4A,PCDH9,0.006015112,Co-expression,1,
TUBB4A,CDC37L1,0.00957202,Co-expression,1,
FKBP1B,HSPA12A,0.010603406,Co-expression,1,
CNTN2,TUBB4A,0.010711941,Co-expression,1,
CNTN2,XKR6,0.010316819,Co-expression,1,
ANKRD29,ANO4,0.027039444,Co-expression,1,
PAQR8,PCDH9,0.007283574,Co-expression,1,
PAQR8,CDC37L1,0.011901093,Co-expression,1,
PAQR8,TUBB4A,0.006270578,Co-expression,1,
PAQR8,CNTN2,0.012871609,Co-expression,1,
AATK,PCDH9,0.004627663,Co-expression,1,
AATK,CDC37L1,0.007696733,Co-expression,1,
AATK,ANO4,0.007587488,Co-expression,1,
AATK,DNM3,0.006788854,Co-expression,1,
AATK,EFNB3,0.006730188,Co-expression,1,
AATK,GLRB,0.005666209,Co-expression,1,
AATK,TUBB4A,0.004010815,Co-expression,1,
AATK,CNTN2,0.007589834,Co-expression,1,
AATK,PAQR8,0.004846111,Co-expression,1,
NEFL,ANO4,0.014782653,Co-expression,1,
NEFL,TUBB4A,0.006519065,Co-expression,1,
NEFL,AATK,0.005814007,Co-expression,1,
NACC2,ANO4,0.023255734,Co-expression,1,
NACC2,TUBB4A,0.009608726,Co-expression,1,
NACC2,AATK,0.008381164,Co-expression,1,
NACC2,NEFL,0.016682371,Co-expression,1,
TMEFF2,QKI,0.009352,Co-expression,1,
GLRB,QKI,0.009917433,Co-expression,1,
GLRB,TMEFF2,0.004998055,Co-expression,1,
TUBB4A,EFNB3,0.005479766,Co-expression,1,
TUBB4A,FTH1,0.007397119,Co-expression,1,
FKBP1B,PTPRD,0.013165038,Co-expression,1,
