Gene 1,Gene 2,Weight,Network group,Network
Hs3st4,Cpne4,0.007030238,Co-expression,Gallardo-Castrillon-2007
Rnf182,Shisa6,0.018098235,Co-expression,Gallardo-Castrillon-2007
Fam19a1,Shisa6,0.019721517,Co-expression,Gallardo-Castrillon-2007
Elavl2,Fam19a1,0.014352798,Co-expression,Gallardo-Castrillon-2007
Erc2,Fam19a1,0.012001175,Co-expression,Gallardo-Castrillon-2007
Erc2,Clstn2,0.017108303,Co-expression,Gallardo-Castrillon-2007
Ntm,Nrxn3,0.010187504,Co-expression,Gallardo-Castrillon-2007
Ntm,Cpne4,0.01002536,Co-expression,Gallardo-Castrillon-2007
Ntm,Hs3st4,0.002620332,Co-expression,Gallardo-Castrillon-2007
Ntm,Grik4,0.007344612,Co-expression,Gallardo-Castrillon-2007
Celf4,Nrxn3,0.008890313,Co-expression,Gallardo-Castrillon-2007
Celf4,Trhde,0.006880755,Co-expression,Gallardo-Castrillon-2007
Celf4,Ntm,0.003090932,Co-expression,Gallardo-Castrillon-2007
Cadps,Nrxn3,0.014375398,Co-expression,Gallardo-Castrillon-2007
Cadps,Celf4,0.004209389,Co-expression,Gallardo-Castrillon-2007
Tmem181a,Fam19a1,0.017296594,Co-expression,Gallardo-Castrillon-2007
Tmem181a,Elavl2,0.016484058,Co-expression,Gallardo-Castrillon-2007
Rab26,Kcnq5,0.007564055,Co-expression,Gallardo-Castrillon-2007
Grm4,Shisa6,0.013275561,Co-expression,Gallardo-Castrillon-2007
Grm4,Dock4,0.011903018,Co-expression,Gallardo-Castrillon-2007
Grm4,Hs3st4,0.003122131,Co-expression,Gallardo-Castrillon-2007
Grm4,Fam19a1,0.011493305,Co-expression,Gallardo-Castrillon-2007
Grm4,Grik4,0.011929479,Co-expression,Gallardo-Castrillon-2007
Grm4,Dgkb,0.013459356,Co-expression,Gallardo-Castrillon-2007
Grm4,Nlgn1,0.013811781,Co-expression,Gallardo-Castrillon-2007
Grm4,Clstn2,0.01293308,Co-expression,Gallardo-Castrillon-2007
Cntn6,Grik4,0.023049023,Co-expression,Gallardo-Castrillon-2007
Cntn6,Nlgn1,0.02505288,Co-expression,Gallardo-Castrillon-2007
Cntn6,Erc2,0.013995404,Co-expression,Gallardo-Castrillon-2007
Cntn6,Grm4,0.01263189,Co-expression,Gallardo-Castrillon-2007
