,Term
0,ACLY
1,ADCY9
2,ADRB2
3,AHR
4,ALS2
5,AMOTL1
6,ATP1A2
7,ATP2A2
8,ATP2B1
9,BDNF
10,CACNA2D2
11,CACNG2
12,CADM1
13,CAMK1G
14,CDKN1C
15,CLDN3
16,CNR1
17,CNTNAP2
18,CYP4X1
19,DCC
20,DGKB
21,DLG3
22,DMD
23,DOCK4
24,EPHA4
25,EPHA6
26,EPHA7
27,ERBB4
28,ERC1
29,EXT1
30,FYN
31,GABRA4
32,GAD1
33,GAD2
34,GALNTL6
35,GDF11
36,GLRB
37,GNAS
38,GRIA1
39,GRIA2
40,GRIA3
41,GRIA4
42,GRIK1
43,GRIK4
44,GRM4
45,GRM8
46,HCN2
47,HDAC7
48,HDAC8
49,HOXA9
50,HOXB1
51,HS3ST2
52,HS6ST1
53,HS6ST2
54,HS6ST3
55,HTR1F
56,IGSF5
57,IRF3
58,ITPR3
59,KCNN2
60,KCNQ5
61,KIF5A
62,KIF5B
63,LRRC4B
64,LRRC4C
65,MAF
66,MAGI1
67,MAS1
68,MEF2C
69,MEF2D
70,MMP16
71,MYLK2
72,NDST4
73,NECTIN3
74,NLGN1
75,NLGN2
76,NOS1AP
77,NPY2R
78,NR4A2
79,NRP1
80,NRXN1
81,NRXN2
82,NRXN3
83,NTNG1
84,OGT
85,PBX1
86,PBX3
87,PCLO
88,PEX5L
89,PIAS4
90,PLK2
91,PPP2R2B
92,PPP3CA
93,PRICKLE2
94,PRKCA
95,PRKCE
96,PTPRF
97,RASD1
98,RBM28
99,RCAN1
100,RCAN2
101,RIF1
102,RIMS1
103,RIN1
104,RUNX1T1
105,RUNX2
106,SGCB
107,SGCD
108,SHANK2
109,SLC6A1
110,SLC8A1
111,SLIT1
112,SLIT3
113,SMARCD2
114,SOX2
115,SST
116,ST6GALNAC5
117,SUMO1
118,SV2B
119,SYT1
120,TCF7L2
121,TEAD1
122,UBE2A
123,UNC5C
124,UNC5D
125,ZEB2
126,ZFPM2
