feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,feat24,feat25,feat26,feat27,feat28,feat29,feat30,feat31,feat32,feat33,feat34,feat35,feat36,feat37,feat38,feat39,feat40,feat41,feat42,feat43,feat44,feat45,feat46,feat47,feat48,feat49,feat50,feat51,feat52,feat53,feat54,feat55,feat56,feat57,feat58,feat59,feat60,feat61,feat62,feat63,feat64,feat65,feat66,feat67,feat68,feat69,feat70,feat71,feat72,feat73,feat74,feat75,feat76,feat77,feat78,feat79,feat80,feat81,feat82,feat83,feat84,feat85,feat86,feat87,feat88,feat89,feat90,feat91,feat92,feat93,feat94,feat95,feat96,feat97,feat98,feat99,feat100,feat101,feat102,feat103,feat104,feat105,feat106,feat107,feat108,feat109,feat110,feat111,feat112,feat113,feat114,feat115,feat116,feat117,feat118,feat119,cluster
0.058886133,0.059101135,0.941013,0.059009604,0.940974,0.9409538,0.059024043,0.9409929,0.058966435,0.9410411,0.9410895,0.058955513,0.058904655,0.058820814,0.058993287,0.05916214,0.058962174,0.058976658,0.05904797,0.9410027,0.059035905,0.9410302,0.058975935,0.94102776,0.058950447,0.059002668,0.058957003,0.058948107,0.9409512,0.9410228,0.05905211,0.058960956,0.059010267,0.9409855,0.940972,0.05900061,0.9410043,0.05903828,0.058935504,0.058975592,0.94093424,0.058979075,0.05901286,0.05899857,0.9409632,0.94092524,0.059056707,0.9410421,0.059050873,0.059023682,0.94100314,0.9409682,0.9410024,0.9409879,0.9409927,0.94101906,0.05895665,0.05905568,0.058888152,0.9409814,0.05899266,0.9410813,0.059053242,0.059010446,0.9409607,0.94106793,0.05892141,0.94097877,0.94099575,0.058935717,0.94093245,0.94094247,0.9409407,0.9409966,0.94101757,0.9409507,0.9410392,0.94101876,0.94091535,0.05899236,0.05906397,0.058994822,0.05879593,0.058970332,0.94093025,0.94100374,0.94100255,0.05898601,0.05891744,0.9409855,0.05902166,0.05893611,0.059042767,0.059027344,0.0589537,0.059039578,0.058993347,0.059016258,0.9410073,0.05903378,0.05899658,0.05895849,0.94105923,0.058987882,0.94097537,0.059019327,0.059012815,0.94095075,0.05900249,0.94096124,0.05902727,0.94103307,0.058984585,0.9409752,0.9410006,0.94101936,0.058917105,0.9410387,0.059016824,0.9409379,5
0.07404022,0.07408057,0.9261284,0.0738446,0.92612356,0.9261121,0.073718704,0.9262348,0.07385767,0.9260447,0.92595077,0.07382946,0.0740603,0.07409325,0.07363476,0.07379541,0.0738961,0.07397398,0.07400311,0.9261237,0.073793724,0.9260098,0.07378113,0.9261643,0.07389087,0.07403639,0.07386986,0.073903546,0.9260375,0.9260088,0.07376416,0.07383896,0.073873766,0.9260526,0.9260993,0.07381605,0.92601055,0.07388442,0.07393505,0.07386508,0.9262187,0.0738761,0.073988326,0.074244216,0.92581606,0.9260495,0.073954076,0.9259858,0.07396281,0.07377316,0.9260444,0.92602634,0.9260346,0.92619556,0.9262922,0.92600775,0.073541045,0.073805295,0.07395598,0.92608416,0.074006826,0.92618775,0.073859766,0.073790506,0.92619604,0.9261041,0.07376738,0.92616856,0.9261571,0.07389185,0.9260811,0.92612076,0.9261457,0.9261207,0.9263096,0.9262503,0.92607075,0.9262012,0.92625177,0.073852986,0.07402019,0.07397384,0.07418141,0.0738062,0.9261828,0.92618036,0.9260044,0.07395275,0.0738995,0.9261178,0.073897205,0.073850095,0.07380193,0.073728174,0.07390299,0.07368016,0.07363781,0.073862,0.9260507,0.073864445,0.073960476,0.07397047,0.92604554,0.073890746,0.9262884,0.07391839,0.07383523,0.92611307,0.07425449,0.9262532,0.0738298,0.92614615,0.0737923,0.92618746,0.92596155,0.92622375,0.073801905,0.92600566,0.07386265,0.9260782,-1
0.2970293,0.29706526,0.7030302,0.2968772,0.70315665,0.70303243,0.29685807,0.7031038,0.29678518,0.7030705,0.7031402,0.29684323,0.29684377,0.296898,0.29674459,0.2968593,0.29687327,0.2969297,0.2969555,0.702952,0.29686064,0.7031864,0.2968393,0.70322794,0.29699436,0.2970357,0.2969328,0.29691678,0.70308137,0.70304453,0.29680052,0.29682955,0.2969208,0.70321053,0.70311105,0.29696542,0.70299,0.29676974,0.29697427,0.2969736,0.7031214,0.2970419,0.29698434,0.2971457,0.7030054,0.70291686,0.29698202,0.7032295,0.2968991,0.2968797,0.7031178,0.70299816,0.7029933,0.70310336,0.70323694,0.7031296,0.2967388,0.2968773,0.29684442,0.7030205,0.2970208,0.70323086,0.2968821,0.29687372,0.70310205,0.70308506,0.29697698,0.70305693,0.70308006,0.2969495,0.7030771,0.7030499,0.70309865,0.70318764,0.70313776,0.70315766,0.70300865,0.70310146,0.70304376,0.29678357,0.29703948,0.2968676,0.2970419,0.29686368,0.7030706,0.7031542,0.7030499,0.29690617,0.2968591,0.7030407,0.29696083,0.29694667,0.29685864,0.2968374,0.29684392,0.2968726,0.29673058,0.2969912,0.70314926,0.29685205,0.29695538,0.29695597,0.70308983,0.29683957,0.70315254,0.29701233,0.29691488,0.7030197,0.29702955,0.703094,0.29691193,0.7031204,0.2968765,0.7031338,0.70302546,0.7031255,0.29676375,0.70301175,0.2969655,0.7030077,2
0.3067822,0.30717808,0.69280094,0.30766237,0.6925864,0.69282913,0.3080847,0.69198895,0.30730993,0.6930762,0.6937576,0.3072949,0.30654028,0.30625582,0.30806756,0.30799305,0.3073251,0.30708233,0.30748656,0.6926711,0.3078852,0.69315195,0.30757672,0.6926932,0.30753607,0.30694014,0.3075002,0.30719593,0.6927341,0.6933683,0.3076622,0.3074498,0.30748224,0.6926316,0.69247824,0.30757502,0.6930111,0.3073044,0.30722803,0.30735034,0.691925,0.3074315,0.30710799,0.30628997,0.69380146,0.692823,0.30737686,0.69331616,0.3072088,0.30776012,0.69292253,0.6928095,0.6928781,0.69220376,0.6919278,0.69308275,0.3085587,0.30800244,0.30681524,0.6927717,0.30690017,0.6924714,0.30734766,0.30771914,0.6924858,0.6930024,0.30737317,0.6924133,0.6922632,0.3072573,0.6927397,0.6925727,0.69251484,0.69265616,0.69204235,0.69202745,0.692691,0.6925252,0.69181234,0.3074066,0.3073384,0.30710638,0.30554336,0.3072344,0.6919102,0.69250774,0.6928714,0.306989,0.30706903,0.6924385,0.30720472,0.3072703,0.30773377,0.30807346,0.30735108,0.30822134,0.30797338,0.30769736,0.6925877,0.30726093,0.30703524,0.30711025,0.6930733,0.30695793,0.6919364,0.307271,0.30732363,0.6924522,0.3059769,0.69186985,0.30762184,0.692834,0.3074559,0.69226956,0.69295156,0.69227576,0.30707294,0.69284695,0.30744857,0.6926047,2
0.49238536,0.49296772,0.50755936,0.49268314,0.5074439,0.50731164,0.49271935,0.507336,0.49245054,0.50757515,0.5076974,0.49250868,0.49240303,0.49181098,0.49242336,0.49296385,0.49262318,0.49254555,0.49291074,0.50742847,0.49277717,0.507432,0.49242765,0.5075338,0.4924837,0.4925618,0.49258867,0.4924217,0.50710905,0.5075966,0.49264807,0.49238434,0.49266943,0.5073104,0.5070839,0.4925023,0.5073066,0.4925112,0.49238792,0.49228114,0.507124,0.49254712,0.49271783,0.4927751,0.50723684,0.50730383,0.49286342,0.5075376,0.4927985,0.49255136,0.507394,0.50708044,0.5074175,0.50742596,0.5074059,0.5075021,0.49205542,0.49284038,0.49214083,0.50733674,0.492509,0.5077534,0.4929313,0.4927104,0.50734055,0.50767785,0.49214408,0.50751173,0.50734997,0.492163,0.50695837,0.50718725,0.50717854,0.50728244,0.50750506,0.50723004,0.50741637,0.5075503,0.5071384,0.49249166,0.49283153,0.49267718,0.49209368,0.49236697,0.50706446,0.5074846,0.50731075,0.4925502,0.49227005,0.5071963,0.49278963,0.49220693,0.4924636,0.49265718,0.49248508,0.49262297,0.49232775,0.49253106,0.5072626,0.49265596,0.49276704,0.49256837,0.5077221,0.49256715,0.50722086,0.49263048,0.4925486,0.50733435,0.4927712,0.50729096,0.49247125,0.5075108,0.49239486,0.5073788,0.507185,0.50755453,0.49227676,0.50747,0.4926068,0.50708,1
0.0055394955,0.00557673,0.9944648,0.0055374354,0.99443716,0.9944638,0.005533673,0.9944596,0.005530745,0.9944657,0.99447083,0.0055179894,0.0055356547,0.0055407174,0.0055253133,0.0055833757,0.00551942,0.005534604,0.0055576935,0.99446476,0.0055498183,0.9944569,0.0055288877,0.994468,0.0055295844,0.005560681,0.0055115446,0.005524561,0.9944519,0.99443674,0.0055496693,0.0055469126,0.0055396706,0.99444985,0.99447393,0.005544916,0.9944586,0.005557388,0.005534649,0.005562797,0.99444413,0.0055427775,0.0055628717,0.005549401,0.99444157,0.99441344,0.0055505037,0.9944631,0.0055516064,0.0055492595,0.99445176,0.9944788,0.99445283,0.994451,0.99446434,0.9944599,0.0055477023,0.0055508316,0.0055287555,0.99446326,0.0055531934,0.9944591,0.00553751,0.0055289865,0.9944684,0.9944749,0.0055207238,0.9944563,0.99446285,0.00554201,0.9944762,0.9944575,0.9944723,0.9944636,0.9944788,0.99447376,0.99447143,0.99447215,0.9944428,0.005552314,0.0055714995,0.0055421367,0.0054734945,0.0055368245,0.99444723,0.99445516,0.994442,0.0055304617,0.0055253357,0.99447536,0.0055173337,0.0055372193,0.0055715293,0.005550772,0.0055325627,0.005555153,0.0055419505,0.005560994,0.9944768,0.0055312216,0.0055217985,0.0055170394,0.99446976,0.005517505,0.9944711,0.0055473223,0.0055309236,0.9944432,0.005541548,0.9944446,0.0055630244,0.99448407,0.0055363923,0.99445856,0.99446315,0.99445987,0.005500667,0.9944589,0.0055358335,0.9944656,8
0.44596052,0.44628564,0.5539119,0.44649017,0.5537015,0.5537858,0.44665727,0.55352366,0.44619906,0.5540122,0.55440336,0.44617993,0.44577986,0.44560927,0.44650507,0.44670212,0.44623533,0.4461971,0.44637847,0.5537953,0.44653845,0.5541488,0.44634357,0.553907,0.446225,0.44599152,0.44624248,0.44627166,0.55373263,0.5541128,0.44639134,0.4462064,0.44638902,0.5537474,0.55357504,0.44624373,0.55391073,0.4462629,0.44612804,0.4463099,0.55348647,0.44622812,0.44619614,0.4456848,0.5543244,0.5536812,0.44625616,0.5542321,0.44624496,0.44649756,0.55380595,0.5537588,0.5538739,0.55356795,0.5533186,0.5538292,0.44684255,0.4466374,0.4458869,0.5537688,0.44616935,0.5537406,0.44636977,0.4464137,0.5536343,0.55396163,0.4461811,0.5536579,0.5535916,0.44606942,0.5537488,0.553644,0.55354744,0.55368304,0.55352473,0.5532916,0.55381817,0.55366814,0.5532948,0.4462548,0.4462049,0.446046,0.445014,0.44614995,0.5533142,0.5536057,0.5538713,0.44617343,0.44598916,0.5537385,0.44632795,0.4462282,0.4465363,0.44667,0.44616348,0.44660068,0.446609,0.44640148,0.55363184,0.44628388,0.44603172,0.4462661,0.5539615,0.4460776,0.5534141,0.4462306,0.4463092,0.5535909,0.44567513,0.5533359,0.44619665,0.5538368,0.44617486,0.5535047,0.5538392,0.55361944,0.44599637,0.55393827,0.44634226,0.5536436,1
0.118241616,0.118259996,0.88201785,0.11793454,0.8819519,0.8818972,0.117692046,0.8822642,0.117992565,0.88187176,0.88162965,0.11797996,0.11841718,0.11828502,0.117621325,0.117854014,0.11800926,0.11806059,0.11812109,0.8820516,0.117808245,0.88175714,0.117841035,0.8820063,0.117819704,0.11807332,0.11796779,0.11797434,0.88185817,0.88155276,0.11787829,0.117950335,0.11796839,0.88186187,0.88194543,0.11784593,0.8818052,0.11810182,0.117954515,0.11778803,0.882248,0.11792526,0.11822038,0.11859402,0.8813835,0.88204557,0.11812607,0.8816678,0.11821787,0.11783089,0.88182414,0.88193005,0.8818216,0.8821495,0.8822493,0.8818721,0.117310405,0.1178953,0.11812243,0.8820192,0.118164316,0.8821618,0.11817087,0.11778164,0.88204896,0.88194686,0.11776191,0.882133,0.8821371,0.11791095,0.88184655,0.88201684,0.8819365,0.88192695,0.8823592,0.8822144,0.88198996,0.8821816,0.88222057,0.11803539,0.11816673,0.11827411,0.11841196,0.11797621,0.882123,0.8820736,0.8817914,0.11813808,0.11803449,0.88202566,0.11802271,0.11789748,0.11785002,0.11772975,0.11799849,0.11758928,0.11767703,0.1178943,0.881919,0.11801669,0.118212625,0.11810311,0.8819243,0.118178844,0.8822813,0.11801793,0.11801392,0.8819803,0.118668914,0.8823004,0.11789072,0.88200605,0.11782293,0.8821301,0.8817622,0.88219404,0.117951214,0.88194513,0.1179797,0.88189477,4
0.0067813704,0.006808251,0.99322784,0.0067774206,0.99319893,0.99322796,0.006772876,0.993223,0.00676845,0.9932275,0.9932335,0.0067574605,0.006774217,0.0067843236,0.0067643374,0.006818846,0.0067569762,0.0067721307,0.0067946054,0.99322826,0.006786689,0.99322,0.0067662876,0.99323004,0.0067614913,0.006795153,0.0067479312,0.006765142,0.993216,0.99319404,0.006785661,0.006785728,0.0067789257,0.9932142,0.9932367,0.0067810863,0.99322134,0.0067959577,0.0067731813,0.00680241,0.99321073,0.006780684,0.0068011433,0.006781101,0.9932057,0.9931763,0.0067854226,0.99322486,0.0067895204,0.0067883953,0.9932132,0.9932449,0.99321455,0.99321425,0.99322426,0.99322057,0.0067918077,0.006789185,0.006767854,0.9932283,0.0067938194,0.9932188,0.006776437,0.0067646503,0.9932303,0.9932348,0.0067598596,0.9932198,0.99322665,0.0067802817,0.99323994,0.9932223,0.99323475,0.9932241,0.9932392,0.9932359,0.9932361,0.99323285,0.9932066,0.0067933053,0.0068044364,0.0067803413,0.006710559,0.0067763478,0.99321145,0.99321854,0.9932041,0.006769359,0.006764546,0.9932408,0.0067555755,0.0067794845,0.0068119615,0.0067902654,0.006770082,0.006789267,0.006784484,0.0067988336,0.9932391,0.0067687333,0.0067581777,0.0067570433,0.993232,0.0067558065,0.99323547,0.0067845136,0.0067715645,0.99320406,0.0067760646,0.9932085,0.0068009906,0.99324745,0.0067734867,0.99321884,0.99322754,0.9932207,0.006740205,0.9932241,0.0067755207,0.9932303,8
0.011693893,0.011687815,0.98830384,0.011719346,0.988274,0.9883281,0.0117268935,0.9882786,0.011689588,0.98831487,0.9883578,0.011684507,0.011662416,0.0117055625,0.011728145,0.01176545,0.011671543,0.011685923,0.011697182,0.98830724,0.011729255,0.98833853,0.011704832,0.98831075,0.011674659,0.011685982,0.0116684735,0.011695117,0.9883112,0.98829305,0.011714458,0.011720046,0.01171045,0.98830295,0.98832446,0.01170975,0.9883237,0.011716709,0.011699095,0.011750713,0.9882902,0.011711471,0.011715665,0.0116324425,0.9883497,0.98825216,0.01169464,0.9883364,0.011687383,0.011729442,0.98830014,0.9883573,0.98830664,0.9882773,0.9882643,0.9883191,0.01181557,0.011722077,0.011679485,0.9883212,0.011705503,0.9882723,0.011688352,0.011695683,0.988303,0.98831564,0.011708178,0.9882869,0.9882965,0.011722639,0.98834085,0.98830825,0.9883123,0.9883065,0.98827547,0.9882845,0.9883242,0.9882884,0.9882649,0.0117191635,0.011696592,0.01167953,0.011545971,0.0117011145,0.98828,0.988294,0.9882965,0.011682294,0.011679724,0.98832625,0.011667654,0.011718132,0.011762783,0.0117440075,0.011691824,0.011731237,0.011751547,0.011734508,0.9883117,0.011683196,0.011635292,0.011671428,0.9883223,0.011660814,0.98829275,0.011701085,0.011702165,0.98827463,0.01161474,0.9882675,0.0117410645,0.9883357,0.011701778,0.9882758,0.98833954,0.9882809,0.011671111,0.9883255,0.011704506,0.98832846,8
