Gene 1,Gene 2,Weight,Network group,Network,cluster
YWHAE,H2AFY,0.016515967,Co-expression,Rieger-Chu-2004,1
ACTB,RACK1,0.022097602,Co-expression,Rieger-Chu-2004,1
NDUFS3,GABARAPL2,0.0056318,Co-expression,Rieger-Chu-2004,1
DLG4,FRRS1L,0.015664876,Co-expression,Rieger-Chu-2004,1
CNIH1,HACD2,0.010652997,Co-expression,Rieger-Chu-2004,1
YWHAE,GABARAPL2,0.015504347,Co-expression,Bild-Nevins-2006 B,1
ACTB,RACK1,0.03134051,Co-expression,Bild-Nevins-2006 B,1
PLP1,EFNB3,0.015251718,Co-expression,Bild-Nevins-2006 B,1
GPM6B,EFNB3,0.017284364,Co-expression,Bild-Nevins-2006 B,1
PCYT1B,CNIH2,0.008375436,Co-expression,Roth-Zlotnik-2006,1
DDRGK1,SCAND1,0.007228648,Co-expression,Roth-Zlotnik-2006,1
EFNB3,CNIH2,0.009791539,Co-expression,Roth-Zlotnik-2006,1
YWHAE,GABARAPL2,0.007241875,Co-expression,Roth-Zlotnik-2006,1
PLP1,GABARAPL2,0.001885038,Co-expression,Roth-Zlotnik-2006,1
NDUFS3,NDUFV1,0.013800783,Co-expression,Roth-Zlotnik-2006,1
DLG4,CNIH2,0.009507371,Co-expression,Roth-Zlotnik-2006,1
CNIH3,CNIH2,0.009378959,Co-expression,Roth-Zlotnik-2006,1
GPM6B,GABARAPL2,0.002553277,Co-expression,Roth-Zlotnik-2006,1
GPM6B,YWHAE,0.00477879,Co-expression,Roth-Zlotnik-2006,1
GPM6B,PLP1,0.001549381,Co-expression,Roth-Zlotnik-2006,1
GPM6A,FRRS1L,0.02210472,Co-expression,Roth-Zlotnik-2006,1
NDUFB10,NDUFV1,0.009955919,Co-expression,Roth-Zlotnik-2006,1
NDUFB10,NDUFS3,0.005458261,Co-expression,Roth-Zlotnik-2006,1
NMNAT1,NDUFB10,0.010222641,Co-expression,Roth-Zlotnik-2006,1
EFNB3,FRRS1L,0.013488097,Co-expression,Wang-Maris-2006,1
ACTB,RACK1,0.02310527,Co-expression,Wang-Maris-2006,1
NDUFS3,NDUFV1,0.010431502,Co-expression,Wang-Maris-2006,1
GAST,PCYT1B,0.008561998,Co-expression,Wang-Maris-2006,1
CSRNP2,EFNB3,0.012539051,Co-expression,Wang-Maris-2006,1
CSRNP2,DLG4,0.01405096,Co-expression,Wang-Maris-2006,1
CNIH3,CCK,0.010420692,Co-expression,Wang-Maris-2006,1
GPM6B,PLP1,0.018521734,Co-expression,Wang-Maris-2006,1
GPM6A,CCK,0.010162633,Co-expression,Wang-Maris-2006,1
ACTB,RACK1,0.012095884,Co-expression,Ramaswamy-Golub-2001,1
DLG4,EFNB3,0.00869017,Co-expression,Ramaswamy-Golub-2001,1
GAST,GRM1,0.007890874,Co-expression,Ramaswamy-Golub-2001,1
CNIH4,CNIH1,0.008606349,Co-expression,Ramaswamy-Golub-2001,1
YWHAG,CNIH1,0.003511002,Co-expression,Ramaswamy-Golub-2001,1
